 Abi Olajuwon
 Alex Montgomery
 Alexis Gray-Lawson
 Alexis Hornbuckle
 Alison Bales
 Allie Quigley
 Allison Hightower
 Amber Harris
 Amber Holt
 Andrea Riley
 Angel McCoughtry
 Armintie Price
 Ashley Robinson
 Asjha Jones
 Becky Hammon
 Belinda Snell
 Betty Lennox
 Briann January
 Camille Little
 Candace Parker
 Candice Dupree
 Candice Wiggins
 Cappie Pondexter
 Carolyn Swords
 Cathrine Kraayeveld
 Charde Houston
 Coco Miller
 Courtney Paris
 Courtney Vandersloot
 Crystal Langhorne
 Danielle Adams
 Danielle McCray
 Danielle Robinson
 DeLisha Milton
 DeMya Walker
 DeWanna Bonner
 Diana Taurasi
 Dominique Canty
 Ebony Hoffman
 Epiphanny Prince
 Erika de Souza
 Erin Phillips
 Erin Thorn
 Eshaya Murphy
 Essence Carson
 Ewelina Kobryn
 Ivory Latta
 Iziane Castro Marques
 Jantel Lavender
 Jasmine Thomas
 Jayne Appel
 Jeanette Pohlen
 Jenna O'Hea
 Jennifer Lacy
 Jessica Adair
 Jessica Breland
 Jessica Davenport
 Jessica Moore
 Jia Perkins
 Kalana Greene
 Kara Braxton
 Kara Lawson
 Karima Christmas
 Katie Douglas
 Katie Smith
 Kayla Pedersen
 Kelly Miller
 Kelsey Griffin
 Kerri Gardin
 Ketia Swanier
 Kia Vaughn
 Kristi Toliver
 Krystal Thomas
 LaToya Pringle
 Lauren Jackson
 Lecoe Willingham
 Leilani Mitchell
 Lindsay Whalen
 Lindsay Wisdom-Hylton
 Lindsey Harding
 Liz Cambage
 Marie Ferdinand-Harris
 Marissa Coleman
 Matee Ajavon
 Maya Moore
 Michelle Snow
 Monica Wright
 Monique Currie
 Nakia Sanford
 Natasha Lacy
 Nicky Anosike
 Nicole Powell
 Noelle Quinn
 Penny Taylor
 Plenette Pierson
 Porsha Phillips
 Quanitra Hollingsworth
 Rebekkah Brunson
 Renee Montgomery
 Roneeka Hodges
 Ruth Riley
 Sancho Lyttle
 Sandora Irvin
 Scholanda Robinson
 Seimone Augustus
 Shalee Lehning
 Shannon Bobbitt
 Shavonte Zellous
 Sheryl Swoopes
 Shyra Ely
 Sidney Spencer
 Sophia Young
 Sue Bird
 Swin Cash
 Sydney Colson
 Sylvia Fowles
 Ta'Shia Phillips
 Taj McWilliams-Franklin
 Tamera Young
 Tamika Catchings
 Tammy Sutton-Brown
 Tan White
 Tangela Smith
 Tanisha Wright
 Temeka Johnson
 Ticha Penicheiro
 Tiffany Jackson
 Tina Charles
 Tina Thompson
 Tully Bevilaqua
