 A'dia Mathies
 Alana Beard
 Alex Bentley
 Alex Montgomery
 Alexis Hornbuckle
 Allie Quigley
 Allison Hightower
 Alysha Clark
 Amber Harris
 Aneika Henry
 Angel Goodrich
 Angel McCoughtry
 Anne Marie Armstrong
 Armintie Herrington
 Ashley Robinson
 Ashley Walker
 Avery Warley
 Becky Hammon
 Briana Gilbreath
 Briann January
 Brittney Griner
 Camille Little
 Candace Parker
 Candice Dupree
 Candice Wiggins
 Cappie Pondexter
 Carolyn Swords
 Cathrine Kraayeveld
 Chante Black
 Charde Houston
 Chelsea Poppens
 Chucky Jeffery
 Cierra Bravard
 Courtney Clements
 Courtney Paris
 Courtney Vandersloot
 Crystal Langhorne
 Danielle Adams
 Danielle Robinson
 Davellyn Whyte
 DeLisha Milton
 DeWanna Bonner
 Devereaux Peters
 Diana Taurasi
 Ebony Hoffman
 Elena Delle Donne
 Emma Meesseman
 Epiphanny Prince
 Erika de Souza
 Erin Phillips
 Erin Thorn
 Erlana Larkins
 Eshaya Murphy
 Essence Carson
 Farhiya Abdi
 Glory Johnson
 Ivory Latta
 Iziane Castro Marques
 Janel McCarville
 Jantel Lavender
 Jasmine Hassell
 Jasmine James
 Jasmine Thomas
 Jayne Appel
 Jeanette Pohlen
 Jenna O'Hea
 Jennifer Lacy
 Jessica Breland
 Jessica Moore
 Jia Perkins
 Joslyn Tinkle
 Julie Wojta
 Kalana Greene
 Kally Faris
 Kamiko Williams
 Kara Braxton
 Kara Lawson
 Karima Christmas
 Katie Douglas
 Katie Smith
 Kayla Alexander
 Kayla Pedersen
 Kelsey Bone
 Kelsey Griffin
 Kia Vaughn
 Kristi Toliver
 Krystal Thomas
 Layshia Clarendon
 Lecoe Willingham
 Leilani Mitchell
 Lindsay Whalen
 Lindsey Harding
 Lindsey Moore
 Liz Cambage
 Lynetta Kizer
 Marissa Coleman
 Matee Ajavon
 Maya Moore
 Michelle Campbell
 Michelle Snow
 Mistie Bass
 Monica Wright
 Monique Currie
 Nadirah McKenith
 Nakia Sanford
 Natasha Lacy
 Nicole Powell
 Nneka Ogwumike
 Noelle Quinn
 Penny Taylor
 Plenette Pierson
 Quanitra Hollingsworth
 Rachel Jarry
 Rebekkah Brunson
 Renee Montgomery
 Riquna Williams
 Roneeka Hodges
 Ruth Riley
 Samantha Prahalis
 Sancho Lyttle
 Sasha Goodlett
 Seimone Augustus
 Shameka Christon
 Sharnee Zoll
 Shavonte Zellous
 Shekinna Stricklen
 Shenise Johnson
 Skylar Diggins
 Sugar Rodgers
 Swin Cash
 Sydney Carter
 Sylvia Fowles
 Tamera Young
 Tamika Catchings
 Tan White
 Tanisha Wright
 Tayler Hill
 Temeka Johnson
 Tianna Hawkins
 Tierra Ruffin-Pratt
 Tiffany Hayes
 Tiffany Jackson-Jones
 Tina Charles
 Tina Thompson
