 Alana Beard
 Alex Bentley
 Alex Montgomery
 Allie Quigley
 Allison Hightower
 Alysha Clark
 Alyssa Thomas
 Amanda Thompson
 Aneika Henry
 Anete Jekabsone-Zogota
 Angel Goodrich
 Angel McCoughtry
 Angel Robinson
 Anna Cruz
 Armintie Herrington
 Asia Taylor
 Astou Ndour
 Avery Warley
 Becky Hammon
 Bria Hartley
 Briana Gilbreath
 Briann January
 Brittney Griner
 Camille Little
 Candace Parker
 Candice Dupree
 Candice Wiggins
 Cappie Pondexter
 Celine Dumerc
 Charde Houston
 Chiney Ogwumike
 Chucky Jeffery
 Courtney Clements
 Courtney Paris
 Courtney Vandersloot
 Crystal Langhorne
 Damiris Dantas
 Danielle Adams
 Danielle McCray
 Danielle Robinson
 Darxia Morris
 DeLisha Milton
 DeWanna Bonner
 Devereaux Peters
 Diana Taurasi
 Ebony Hoffman
 Elena Delle Donne
 Emma Meesseman
 Epiphanny Prince
 Erika de Souza
 Erin Phillips
 Erlana Larkins
 Eshaya Murphy
 Essence Carson
 Ewelina Kobryn
 Farhiya Abdi
 Gennifer Brandon
 Glory Johnson
 Heather Butler
 Ivory Latta
 Jamierra Faulkner
 Janel McCarville
 Jantel Lavender
 Jasmine Thomas
 Jayne Appel
 Jelena Milovanovic
 Jenna O'Hea
 Jennifer Lacy
 Jessica Breland
 Jia Perkins
 Jordan Hooper
 Kalana Greene
 Kara Lawson
 Karima Christmas
 Katie Douglas
 Kayla Alexander
 Kayla McBride
 Kayla Pedersen
 Kelley Cain
 Kelly Faris
 Kelsey Bone
 Kelsey Griffin
 Kia Vaughn
 Kristi Toliver
 Krystal Thomas
 Layshia Clarendon
 Lindsay Whalen
 Lindsey Harding
 Lindsey Moore
 Lynetta Kizer
 Maggie Lucas
 Marissa Coleman
 Markeisha Gatling
 Matee Ajavon
 Maya Moore
 Mistie Bass
 Monica Wright
 Monique Currie
 Nadia Colhado
 Nadia Gomes Colhado
 Nadirah McKenith
 Natasha Howard
 Natasha Lacy
 Nicole Powell
 Nikki Greene
 Nneka Ogwumike
 Noelle Quinn
 Odyssey Sims
 Penny Taylor
 Plenette Pierson
 Rebekkah Brunson
 Renee Montgomery
 Riquna Williams
 Roneeka Hodges
 Samantha Prahalis
 Sancho Lyttle
 Sandrine Gruda
 Sasha Goodlett
 Seimone Augustus
 Shameka Christon
 Shanece McKinney
 Shavonte Zellous
 Shekinna Stricklen
 Shenise Johnson
 Shoni Schimmel
 Skylar Diggins
 Stefanie Dolson
 Sue Bird
 Sugar Rodgers
 Swin Cash
 Sydney Carter
 Sylvia Fowles
 Tamera Young
 Tamika Catchings
 Tan White
 Tanisha Wright
 Tayler Hill
 Temeka Johnson
 Theresa Plaisance
 Tianna Hawkins
 Tierra Ruffin-Pratt
 Tiffany Bias
 Tiffany Hayes
 Tiffany Jackson-Jones
 Tina Charles
 Toni Young
 Tricia Liston
 Vicki Baugh
 Waltiea Rolle
