 Abby Bishop
 Alana Beard
 Alex Bentley
 Alex Harden
 Alex Montgomery
 Allie Quigley
 Ally Malott
 Alysha Clark
 Alyssa Thomas
 Amanda Zahui B
 Andrea Hoover
 Aneika Henry
 Angel McCoughtry
 Armintie Herrington
 Asjha Jones
 Avery Warley
 Betnijah Laney
 Briana Butler
 Briann January
 Brianna Kiesel
 Brittany Boyd
 Brittany Hrynko
 Camille Little
 Candice Dupree
 Candice Wiggins
 Cappie Pondexter
 Carolyn Swords
 Cayla Francis
 Chelsea Gray
 Cheyenne Parker
 Clarissa Dos Santos
 Courtney Paris
 Courtney Vandersloot
 Crystal Langhorne
 Damiris Dantas
 Danielle Robinson
 DeLisha Milton
 DeWanna Bonner
 Dearica Hamby
 Devereaux Peters
 Elena Delle Donne
 Elizabeth Williams
 Emma Meesseman
 Erica Wheeler
 Erika de Souza
 Erin Phillips
 Erlana Larkins
 Essence Carson
 Farhiya Abdi
 Inga Orekhova
 Ivory Latta
 Jamierra Faulkner
 Jantel Lavender
 Jasmine Thomas
 Jayne Appel
 Jeanette Pohlen
 Jenna O'Hea
 Jennifer Hamson
 Jennifer Lacy
 Jennifer O'Neill
 Jessica Breland
 Jewell Loyd
 Jia Perkins
 Jordan Hooper
 Kaleena Mosqueda-Lewis
 Kara Lawson
 Karima Christmas
 Kayla Alexander
 Kayla McBride
 Kayla Pedersen
 Kayla Thornton
 Kelly Faris
 Kelsey Bone
 Kia Vaughn
 Kiah Stokes
 Layshia Clarendon
 Leilani Mitchell
 Lindsay Whalen
 Lynetta Kizer
 Maggie Lucas
 Marianna Tolo
 Marissa Coleman
 Matee Ajavon
 Maya Moore
 Mistie Bass
 Monica Wright
 Monique Currie
 Nadia Colhado
 Natalie Achonwa
 Natasha Cloud
 Natasha Howard
 Noelle Quinn
 Odyssey Sims
 Plenette Pierson
 Quanitra Hollingsworth
 Ramu Tokashiki
 Rebecca Allen
 Rebekkah Brunson
 Renee Montgomery
 Reshanda Gray
 Riquna Williams
 Roneeka Hodges
 Samantha Logic
 Sancho Lyttle
 Sasha Goodlett
 Seimone Augustus
 Shameka Christon
 Shavonte Zellous
 Shekinna Stricklen
 Shenise Johnson
 Shoni Schimmel
 Skylar Diggins
 Stefanie Dolson
 Sue Bird
 Sugar Rodgers
 Swin Cash
 Sydney Colson
 Tamera Young
 Tamika Catchings
 Tanisha Wright
 Tayler Hill
 Temeka Johnson
 Tess Madgen
 Theresa Plaisance
 Tierra Ruffin-Pratt
 Tiffany Hayes
 Tina Charles
 Tricia Liston
 Vicki Baugh
 Victoria Macaulay
